"","ro","text","sentiment"
"67","67","I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.","Neg"
"68","68","That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).","Neg"
"69","69","I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit."," Pos"
"70","70","I purcashed this for the car charger and it does not work.","Neg"
"71","71","Great product, fast shipping!."," Pos"
"72","72","Absolutely great."," Pos"
"73","73","The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad."," Pos"
"74","74","i got this phone around the end of may and i'm completely unhappy with it.","Neg"
"75","75","It has been a winner for us."," Pos"
"76","76",")Setup couldn't have been simpler."," Pos"
"77","77","Could not get strong enough signal.","Neg"
"78","78","Gets the job done."," Pos"
"79","79","Basically the service was very bad.","Neg"
"80","80","I've only had my bluetooth for a few weeks, but I really like it."," Pos"
"81","81","The BT headset was such a disapoinment.","Neg"
"82","82","The accompanied software is almost brilliant."," Pos"
"83","83","Headset works great & was packaged nicely to avoid any damage."," Pos"
"84","84","!I definitly recommend!!"," Pos"
"85","85","Buyer--Be Very Careful!!!!!.","Neg"
"86","86","The majority of the Logitech earbud headsets failed.","Neg"
"87","87","Very good stuff for the price."," Pos"
"88","88","Voice recognition is tremendous!"," Pos"
"89","89","During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.","Neg"
"90","90","I was not happy with this item.","Neg"
"91","91","very disappointed.","Neg"
"92","92","I got this phone on reccomendation from a relative and I'm glad I did."," Pos"
"93","93","What a waste of time!","Neg"
"94","94","Items stated as included from the description ARE NOT INCLUDED.","Neg"
"95","95","I Was Hoping for More.","Neg"
"96","96","I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!"," Pos"
"97","97","This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used."," Pos"
"98","98","Nice quality build, unlike some cheap s*** out there."," Pos"
"99","99","This item is fantastic and works perfectly!"," Pos"
"100","100","And I just love the colors!"," Pos"
"101","101","W810i is just SUPERB."," Pos"
"102","102","Great charger."," Pos"
"103","103","Doesn't work at all.. I bougth it for my L7c and its not working.","Neg"
"104","104","The look of it is very sharp and the screen is nice and clear, with great graphics."," Pos"
"105","105","One thing I hate is the mode set button at the side.","Neg"
"106","106","EXCELLENT SERVICE!!!!!!!!."," Pos"
"107","107","Thank you for wasting my money.","Neg"
"108","108","How can that be?The audio quality is poor.","Neg"
"109","109","The file browser offers all the options that one needs.Handsfree is great."," Pos"
"110","110","Superb Phone on a Great Network."," Pos"
"111","111","I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.","Neg"
"112","112","It only recognizes the Phone as its storage device.","Neg"
"113","113","If you like a loud buzzing to override all your conversations, then this phone is for you!","Neg"
"114","114","Don't buy this product.","Neg"
"115","115","I have this phone and it is a thorn in my side, I really abhor it.","Neg"
"116","116","Design Flaw?.","Neg"
"117","117","Great phone!."," Pos"
"118","118","Waste of 13 bucks.","Neg"
"119","119","But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.","Neg"
"120","120","Any ring tone..Overall good phone to buy.."," Pos"
"121","121","Not impressed.","Neg"
"122","122","You'll love how thin it is."," Pos"
"123","123","Bad Choice.","Neg"
"124","124","The pleather case doesn't fit.","Neg"
"125","125","useless phone, simply deaf.","Neg"
"126","126","The color is even prettier than I thought it would be, and the graphics are incredibly sharp."," Pos"
"127","127","All in all I think it was a good investment."," Pos"
"128","128","It makes very strange ticking noises before it ends the call.","Neg"
"129","129","The best electronics of the available FM Transmitters."," Pos"
"130","130","Battery lasts only a few hours.","Neg"
"131","131","great headset, very impressed - H500."," Pos"
"132","132","I've had this for nearly 2 years and it has worked great for me."," Pos"
"133","133","Good transmit audio."," Pos"
"134","134","The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues."," Pos"
"135","135","fast service."," Pos"
"136","136","I would highly recommend this."," Pos"
"137","137","I would recommend this."," Pos"
"138","138","WORST PHONE EVER.","Neg"
"139","139","Freezes frequently4.","Neg"
"140","140","It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.","Neg"
"141","141","All in all, I'd expected a better consumer experience from Motorola.","Neg"
"142","142","There's a horrible tick sound in the background on all my calls that I have never experienced before.","Neg"
"143","143","These are certainly very comfortable and functionality is decent."," Pos"
"144","144","I usually don't like headbands but this one is very lightweight & doesn't mess up my hair."," Pos"
"145","145","I'm a bit disappointed.","Neg"
"146","146","I have had this phone for over a year now, and I will tell you, its not that great.","Neg"
"147","147","The battery is completely useless to me.","Neg"
"148","148","What a big waste of time.","Neg"
"149","149","Don't waste your $$$ on this one.","Neg"
"150","150","Great sound and service."," Pos"
"151","151","best bluetooth on the market."," Pos"
"152","152","Authentic leather with nice shine and comfort .I recommend you this case !!"," Pos"
"153","153","Do not make the same mistake as me.","Neg"
"154","154","Big Disappointment with calendar sync.","Neg"
"155","155","the phone was unusable and was not new.","Neg"
"156","156","No additional ear gels provided, and no instructions whatsoever.","Neg"
"157","157","It defeats the purpose of a bluetooth headset.","Neg"
"158","158","Worth every penny."," Pos"
"159","159","Nice headphones for the price and they work great!"," Pos"
"160","160","Internet is excrutiatingly slow.","Neg"
"161","161","It is very comfortable to wear as well, which is probably the most important aspect about using a case."," Pos"
"162","162","It's fits like a glove and is strong, secure, and durable."," Pos"
"163","163","O my gosh the best phone I have ever had."," Pos"
"164","164","It's very attractive and appears to be of good quality."," Pos"
"165","165","I love all the features and form factor."," Pos"
"166","166","This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it","Neg"
"167","167","poor quality and service.","Neg"
"168","168","Great Earpiece."," Pos"
"169","169","Excellent hands free tool."," Pos"
"170","170","Good product - incredible value."," Pos"
"171","171","THAT one didn't work either.","Neg"
"172","172","Battery life is real good."," Pos"
"173","173","Returned 8 hours later.","Neg"
"174","174","It's a great item."," Pos"
"175","175","Don't waste your money!.","Neg"
"176","176","Love this headset!"," Pos"
"177","177","Not only will it drain your player, but may also potentially fry it.","Neg"
"178","178","Worked perfectly!"," Pos"
"179","179","Unreliable - I'm giving up.","Neg"
"180","180","Avoid this one if you can.","Neg"
"181","181","Reversible plug works great."," Pos"
"182","182","I wasted my little money with this earpiece.","Neg"
"183","183","Best of all is the rotating feature, very helpful."," Pos"
"184","184","Good product, good seller."," Pos"
"185","185","I love this bluetooth!"," Pos"
"186","186","I am very impressed with this headset from Plantronics."," Pos"
"187","187","I got it because it was so small and adorable."," Pos"
"188","188","Great phone!."," Pos"
"189","189","I wouldn't recommend buying this product.","Neg"
"190","190","Piece of Junk.","Neg"
"191","191","This item is great, installed it, let it charged up overnite and it has been working good every since with no problems"," Pos"
"192","192","Great Phone."," Pos"
"193","193","Don't buy it.","Neg"
"194","194","DO NOT PURCHASE THIS PHONE.","Neg"
"195","195","This is hands down the best phone I've ever had."," Pos"
"196","196","Customer service was terrible.","Neg"
"197","197","Someone shouldve invented this sooner."," Pos"
"198","198","Good price."," Pos"
"199","199","Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good."," Pos"
"200","200","I received it quickly and it works great!!"," Pos"
"201","201","They do not care about the consumer one bit.","Neg"
"202","202","This is a good battery, and it got here really fast."," Pos"
"203","203","Also its slim enough to fit into my alarm clock docking station without removing the case."," Pos"
"204","204","Phone now holds charge like it did when it was new."," Pos"
"205","205","The battery is unreliable as well as the service use antena.","Neg"
"206","206","We have gotten a lot of compliments on it."," Pos"
"207","207","I want my money back.","Neg"
"208","208","I love this device."," Pos"
"209","209","I was able to do voice dialing in the car with no problem."," Pos"
"210","210","I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.","Neg"
"211","211","good item, low price."," Pos"
"212","212","However-the riingtones are not the best, and neither are the games.","Neg"
"213","213","AMAZON SUCKS.","Neg"
"214","214","VERY comfortable."," Pos"
"215","215","The reception is excellent!"," Pos"
"216","216","It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days."," Pos"
"217","217","very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."," Pos"
"218","218","1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.","Neg"
"219","219","Obviously there is a problem with the adhesive.","Neg"
"220","220","It is practically useless and did not add any kind of boost to my reception after I bought it.","Neg"
"221","221","Was not happy.","Neg"
"222","222","A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!","Neg"
"223","223","New Battery works great in phone."," Pos"
"224","224","I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."," Pos"
"225","225","Reception is terrible and full of static.","Neg"
"226","226","This little device has transformed my organizational capability and made my life a whole lot easier."," Pos"
"227","227","I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.","Neg"
"228","228","Were JERKS on the phone.","Neg"
"229","229","Comfortable, Nice Range, Good Battery Life."," Pos"
"230","230","Their network coverage in Los Angeles is horrible.","Neg"
"231","231","Excellent starter wireless headset.","Neg"
"232","232","Nice design and quality."," Pos"
"233","233","Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.","Neg"
"234","234","It is light, easy to use, and has very clear reception and transmission."," Pos"
"235","235","bad fit, way too big.","Neg"
"236","236","awesome device."," Pos"
"237","237","Waste of money.","Neg"
"238","238","I was looking for this headset for a long time and now that I've got it I couldn't be happier."," Pos"
"239","239","Display is excellent and camera is as good as any from that year."," Pos"
"240","240","This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.","Neg"
"241","241","This is a VERY average phone with bad battery life that operates on a weak network.","Neg"
"242","242","Clear Skype Calls, Long Battery Life, Long Range."," Pos"
"243","243","Soyo technology sucks.","Neg"
"244","244","Great Hands Free Device."," Pos"
"245","245","you can even take self portraits with the outside (exterior) display, very cool."," Pos"
"246","246","Same problem as others have mentioned.","Neg"
"247","247","Magical Help."," Pos"
"248","248","The best phone in market :)."," Pos"
"249","249","The company shipped my product very promptly and it works well."," Pos"
"250","250","This is a great deal."," Pos"
"251","251","Excellent product, I am very satisfied with the purchase."," Pos"
"252","252","Better than you'd expect."," Pos"
"253","253","Sounds good reasonably priced and effective, Its that simple !"," Pos"
"254","254","Still Waiting...... I'm sure this item would work well.. if I ever recieve it!","Neg"
"255","255","what a disappointment","Neg"
"256","256","Very prompt service."," Pos"
"257","257","Excellent product for the price."," Pos"
"258","258","Very pleased with this headset."," Pos"
"259","259","don't waste your money and time.","Neg"
"260","260","It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.","Neg"
"261","261","Plantronics Bluetooth Excelent Buy."," Pos"
"262","262","I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.","Neg"
"263","263","I highly recommend this device to everyone!"," Pos"
"264","264","Jawbone Era is awesome too!"," Pos"
"265","265","We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement","Neg"
"266","266","After a year the battery went completely dead on my headset.","Neg"
"267","267","An Awesome New Look For Fall 2000!."," Pos"
"268","268","This is the first phone I've had that has been so cheaply made.","Neg"
"269","269","Att is not clear, sound is very distorted and you have to yell when you talk.","Neg"
"270","270","Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception."," Pos"
"271","271","every thing on phone work perfectly, she like it."," Pos"
"272","272","Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.","Neg"
"273","273","It finds my cell phone right away when I enter the car."," Pos"
"274","274","I highly recommend this modest priced cellular phone."," Pos"
"275","275","But it does get better reception and clarity than any phone I've had before."," Pos"
"276","276","Warning - Stay away.","Neg"
"277","277","I wish I could return the unit and get back my money.","Neg"
"278","278","Awsome Device Works Great!!."," Pos"
"279","279","If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.","Neg"
"280","280","Very Displeased.","Neg"
"281","281","I might have gotten a defect, but I would not risk buying it again because of the built quality alone.","Neg"
"282","282","They made this case too small and is very difficult to install.","Neg"
"283","283","Restored my phone to like new performance."," Pos"
"284","284","I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure."," Pos"
"285","285","I searched the Internet, and found this one to be the best value."," Pos"
"286","286","Does not fit.","Neg"
"287","287","The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone."," Pos"
"288","288","There's really nothing bad I can say about this headset.","Neg"
"289","289","Portable and it works."," Pos"
"290","290","I've also had problems with the phone reading the memory card in which I always turn it on and then off again.","Neg"
"291","291","Not good when wearing a hat or sunglasses.","Neg"
"292","292","Timely shipment and quality product."," Pos"
"293","293","Nice solid keyboard."," Pos"
"294","294","BT50 battery junk!.","Neg"
"295","295","We would recommend these to others."," Pos"
"296","296","Cant get the software to work with my computer.","Neg"
"297","297","poor voice clarity.","Neg"
"298","298","The battery works great!"," Pos"
"299","299","No buyers remorse on this one!.","Neg"
"300","300","Looks great and is strong."""," Pos"
"301","301","I have had TMobile service for 2 or 3 years now, and I am pretty happy with it."," Pos"
"302","302","The update procedure is difficult and cumbersome.","Neg"
"303","303","Disappointment.. I hate anything that goes in my ear.","Neg"
"304","304","Great software for Motorolas."," Pos"
"305","305","The delivery was on time."," Pos"
"306","306","I'd like to return it.","Neg"
"307","307","The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems."," Pos"
"308","308","Verizon's bills, however, are difficult to understand even though their pricing plans are simple.","Neg"
"309","309","You won't regret it!"," Pos"
"310","310","I love this phone!."," Pos"
"311","311","A Disappointment.","Neg"
"312","312","Its not user friendly.","Neg"
"313","313","Then I exchanged for the same phone, even that had the same problem.","Neg"
"314","314","I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!"," Pos"
"315","315","I had Verizon 2 years ago and really liked their service."," Pos"
"316","316","Pretty piece of junk.","Neg"
"317","317","Save your money.... I've had this item for 11 months now.","Neg"
"318","318","WELL IM SATISFIED."," Pos"
"319","319","This battery is an excellent bargain!"," Pos"
"320","320","Defective crap.","Neg"
"321","321","I would have given no star if I was able.","Neg"
"322","322","I wear glasses and it fits fine with them."," Pos"
"323","323","The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.","Neg"
"324","324","I would not recommend this item to anyone.","Neg"
"325","325","The holster that arrived did not match the photo in the ad.","Neg"
"326","326","great...no problems at all!."," Pos"
"327","327","As an earlier review noted, plug in this charger and nothing happens.","Neg"
"328","328","You never know if you pushed it hard enough or the right number of times for the function you want or not.","Neg"
"329","329","I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far."," Pos"
"330","330","Mobile Phone Tools are a must have."," Pos"
"331","331","I am very impressed with the job that Motorola did on the sturdiness of this phone."," Pos"
"332","332","The phone is sturdy and waterproof."," Pos"
"333","333","I am not impressed with this and i would not recommend this item to anyone.","Neg"
"334","334","My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)","Neg"
"335","335","I had to go to a store and bought a new NOKIA phone which is working great."," Pos"
"336","336","Works great!."," Pos"
"337","337","horrible, had to switch 3 times.","Neg"
"338","338","The noise shield is incrediable."," Pos"
"339","339","Razr Battery - Good buy."," Pos"
"340","340","Keep up the good work Amazon!!"," Pos"
"341","341","They refuse to refund or replace.","Neg"
"342","342","All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.","Neg"
"343","343","Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch."," Pos"
"344","344","The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity."," Pos"
"345","345","none of the new ones have ever quite worked properly.","Neg"
"346","346","I am glad I purchased it."," Pos"
"347","347","Perhaps my phone is defective, but people cannot hear me when I use this.","Neg"
"348","348","Don't buy this product.","Neg"
"349","349","No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid."," Pos"
"350","350","Worst software ever used.... If I could give this zero stars I would.","Neg"
"351","351","Trying to make a call on these is an exercise in frustration.","Neg"
"352","352","I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better."," Pos"
"353","353","Thank you for such great service."," Pos"
"354","354","Its a total package."," Pos"
"355","355","The seller is very understanding and patient, I would definitely buy from them again."," Pos"
"356","356","I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.","Neg"
"357","357","It's AGGRAVATING!","Neg"
"358","358","I have purchased these for both family and friends, and all enjoy their clarity and ease of use"," Pos"
"359","359","Virgin Wireless rocks and so does this cheap little phone!"," Pos"
"360","360","None of it works, just don't buy it.","Neg"
"361","361","Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.","Neg"
"362","362","All in all, I'm quite satisfied with this purchase."," Pos"
"363","363","Disapointing Results.","Neg"
"364","364","Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!"," Pos"
"365","365","Great Product."," Pos"
"366","366","It's A PIECE OF CRAP!","Neg"
"367","367","This fixes all the problems."," Pos"
"368","368","I am very happy"," Pos"
"369","369","I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions."," Pos"
"370","370","The battery life is highly unacceptable.","Neg"
"371","371","That company is a joke.","Neg"
"372","372","Due to this happening on every call I was forced to stop using this headset.","Neg"
"373","373","It works great with a car charger, especially if you cannot plug in two adapters at the same time."," Pos"
"374","374","Voice Quality, Signal Strength, Dropped Calls.","Neg"
"375","375","It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not."," Pos"
"376","376","Better than expected."," Pos"
"377","377","It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.","Neg"
"378","378","Battery is holding up well."," Pos"
"379","379","Also difficult to put on.I'd recommend avoiding this product.","Neg"
"380","380","I only used it two days, and it wasn't always easy to hear with.","Neg"
"381","381","I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.","Neg"
"382","382","Sprint - terrible customer service.","Neg"
"383","383","Linked to my phone without effort."," Pos"
"384","384","THey are so cool!"," Pos"
"385","385","Better Than New."," Pos"
"386","386","A pretty good product."," Pos"
"387","387","The real killer is the volume, and of course it breaking.","Neg"
"388","388","This is infuriating.","Neg"
"389","389","Overall, I would recommend this phone over the new Walkman."," Pos"
"390","390","Sprint charges for this service.","Neg"
"391","391","It doesn't work in Europe or Asia.","Neg"
"392","392","the charger worked for about a week and then completely stopped charging my phone.","Neg"
"393","393","However I needed some better instructions.","Neg"
"394","394","You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.","Neg"
"395","395","Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.","Neg"
"396","396","DO NOT BUY DO NOT BUYIT SUCKS","Neg"
"397","397","This is a great product..... sure beats using your fingers!."," Pos"
"398","398","Plus, I seriously do not believe it is worth its steep price point.","Neg"
"399","399","Very Dissapointing Performance.","Neg"
"400","400","This phone might well be the worst I've ever had in any brand.","Neg"
"401","401","Case was more or less an extra that I originally put on but later discarded because it scratched my ear.","Neg"
"402","402","I recommend iGo to anyone with different brand cell phones/mp3 players in the family."," Pos"
"403","403","Don't bother - go to the store.","Neg"
"404","404","I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!"," Pos"
"405","405","I did not have any problem with this item and would order it again if needed."," Pos"
"406","406","You get what you pay for I guess.","Neg"
"407","407","Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection."," Pos"
"408","408","im surprised this is a good quality car charger and there's not much reviews about it."," Pos"
"409","409","These are fabulous!"," Pos"
"410","410","I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent."," Pos"
"411","411","Disappointing accessory from a good manufacturer.","Neg"
"412","412","Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.","Neg"
"413","413","Very wind-resistant."," Pos"
"414","414","Obviously they have a terrible customer service, so you get what you pay for.","Neg"
"415","415","They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried."," Pos"
"416","416","I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.","Neg"
"417","417","Great phone."," Pos"
"418","418","When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.","Neg"
"419","419","Battery is terrible.","Neg"
"420","420","I found the product to be easy to set up and use."," Pos"
"421","421","The earpiece on this is too large or too heavy...it keeps falling out of my ear.","Neg"
"422","422","Utter crap.. Sound quality is TERRIBLE.","Neg"
"423","423","No ear loop needed, it's tiny and the sound is great."," Pos"
"424","424","Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.","Neg"
"425","425","The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high."," Pos"
"426","426","Talk about USELESS customer service.","Neg"
"427","427","It felt too light and ""tinny."".","Neg"
"428","428","This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.","Neg"
"429","429","I'm happy about this purchase- good quality and low price."," Pos"
"430","430","I love the look and feel of Samsung flipphones."," Pos"
"431","431","Its well-designed and very sharp -- the blue is a very nice color."," Pos"
"432","432","Nice Sound."," Pos"
"433","433","Looks good in the picture, but this case was a huge disappointment!!","Neg"
"434","434","Much less than the jawbone I was going to replace it with."," Pos"
"435","435","Setup went very smoothly."," Pos"
"436","436","its extremely slow and takes forever to do anything with it.","Neg"
"437","437","A must study for anyone interested in the ""worst sins"" of industrial design.","Neg"
"438","438","The first thing that happened was that the tracking was off.","Neg"
"439","439","It is well made, easy to access the phone and has a handy, detachable belt clip."," Pos"
"440","440","Then I had to continue pairing it periodically since it somehow kept dropping.","Neg"
"441","441","Can't upload ringtones from a third party.","Neg"
"442","442","It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did."," Pos"
"443","443","The volume for the ringer is REAL good (you have choices how loud)."," Pos"
"444","444","And none of the tones is acceptable.","Neg"
"445","445","camera color balance is AWFUL.","Neg"
"446","446","This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.","Neg"
"447","447","I love the ringtones because they are so upbeat!"," Pos"
"448","448","Chinese Forgeries Abound!.","Neg"
"449","449","i would advise to not purchase this item it never worked very well.","Neg"
"450","450","Too bad you have to pay up to $$$ a month for the service!","Neg"
"451","451","The nokia CA-42 USB cable did not work with my phone.","Neg"
"452","452","I have to use the smallest earpieces provided, but it stays on pretty well."," Pos"
"453","453","The design might be ergonomic in theory but I could not stand having these in my ear.","Neg"
"454","454","The phone can also take great pictures and even video clips."," Pos"
"455","455","It doesn't make you look cool.","Neg"
"456","456","Because both ears are occupied, background is not distracting at all."," Pos"
"457","457","Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day."," Pos"
"458","458","Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.","Neg"
"459","459","You can't beat the price on these."," Pos"
"460","460","lightweight and works well."," Pos"
"461","461","So just beware.","Neg"
"462","462","I love this cable - it allows me to connect any mini-USB device to my PC."," Pos"
"463","463","Appears to actually outperform the original battery from China that came with my V325i."," Pos"
"464","464","Can't store anything but phone numbers to SIM.","Neg"
"465","465","It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.","Neg"
"466","466","It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned."," Pos"
"467","467","Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).","Neg"
"468","468","It was a great phone."," Pos"
"469","469","Good value, works fine - power via USB, car, or wall outlet."," Pos"
"470","470","My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand."," Pos"
"471","471","Think it over when you plan to own this one!This sure is the last MOTO phone for me!","Neg"
"472","472","In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?"," Pos"
"473","473","I have always used corded headsets and the freedom from the wireless is very helpful."," Pos"
"474","474","This case has passed the one year mark and while it shows signs of wear, it is 100% functional."," Pos"
